,Abs_Total,Car.truck.or van,Car.truck.or vanDrove alone,Car.truck.or vanCarpooled,Car.truck.or vanCarpooledIn 2-person carpool,Car.truck.or vanCarpooledIn 3-person carpool,Car.truck.or vanCarpooledIn 4-person carpool,Car.truck.or vanCarpooledIn 5- or 6-person carpool,Car.truck.or vanCarpooledIn 7-or-more-person carpool,Public transportation (excluding taxicab),Public transportation (excluding taxicab)Bus,Public transportation (excluding taxicab)Subway or elevated rail,Public transportation (excluding taxicab)Long-distance train or commuter rail,Public transportation (excluding taxicab)Light rail.streetcar or trolley (carro público in Puerto Rico),Public transportation (excluding taxicab)Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked from home,Geography,NAME,state,State
1723,2512,1941,1757,184,140,44,0,0,0,242,0,10,232,0,0,39,0,11,0,23,256,1400000US17043846412,"Census Tract 8464,12,DuPage County",17|043|846412,Illinois
1724,1787,1196,1078,118,91,27,0,0,0,102,0,0,102,0,0,21,0,0,22,0,446,1400000US17043846413,"Census Tract 8464,13,DuPage County",17|043|846413,Illinois
1725,3228,2341,2239,102,102,0,0,0,0,224,4,0,220,0,0,71,0,0,87,0,505,1400000US17043846504,"Census Tract 8465,04,DuPage County",17|043|846504,Illinois
1726,2075,1325,1241,84,84,0,0,0,0,307,0,0,249,58,0,17,0,0,107,25,294,1400000US17043846507,"Census Tract 8465,07,DuPage County",17|043|846507,Illinois
1727,3300,2417,2305,112,91,10,11,0,0,442,0,0,382,60,0,0,0,0,79,20,342,1400000US17043846509,"Census Tract 8465,09,DuPage County",17|043|846509,Illinois
1728,2080,1627,1522,105,96,9,0,0,0,47,6,0,41,0,0,15,0,0,66,82,243,1400000US17043846510,"Census Tract 8465,10,DuPage County",17|043|846510,Illinois
1729,3254,2670,2482,188,158,0,15,15,0,121,0,0,121,0,0,0,0,17,19,18,409,1400000US17043846511,"Census Tract 8465,11,DuPage County",17|043|846511,Illinois
1730,1321,901,848,53,45,5,3,0,0,169,6,9,154,0,0,0,0,12,4,44,191,1400000US17043846513,"Census Tract 8465,13,DuPage County",17|043|846513,Illinois
1731,2262,1542,1470,72,54,18,0,0,0,282,0,6,276,0,0,0,0,0,0,29,409,1400000US17043846514,"Census Tract 8465,14,DuPage County",17|043|846514,Illinois
1732,3031,2660,2403,257,166,87,4,0,0,145,0,0,145,0,0,0,0,0,0,0,226,1400000US17043846515,"Census Tract 8465,15,DuPage County",17|043|846515,Illinois
1733,3094,2381,2140,241,241,0,0,0,0,306,129,0,177,0,0,0,18,0,0,0,389,1400000US17043846517,"Census Tract 8465,17,DuPage County",17|043|846517,Illinois
1734,1614,1071,926,145,103,10,32,0,0,243,0,13,210,20,0,0,5,0,6,59,230,1400000US17043846518,"Census Tract 8465,18,DuPage County",17|043|846518,Illinois
1735,1950,1532,1499,33,33,0,0,0,0,165,17,0,148,0,0,0,0,0,12,31,210,1400000US17043846519,"Census Tract 8465,19,DuPage County",17|043|846519,Illinois
1736,2506,1601,1435,166,166,0,0,0,0,266,30,0,236,0,0,0,0,8,19,55,557,1400000US17043846521,"Census Tract 8465,21,DuPage County",17|043|846521,Illinois
1737,2043,1453,1348,105,72,15,0,18,0,173,0,25,148,0,0,11,0,0,15,19,372,1400000US17043846522,"Census Tract 8465,22,DuPage County",17|043|846522,Illinois
1738,1357,1091,1037,54,45,9,0,0,0,63,5,0,58,0,0,0,0,0,10,4,189,1400000US17043846523,"Census Tract 8465,23,DuPage County",17|043|846523,Illinois
1739,2610,1802,1739,63,9,48,0,6,0,218,0,0,218,0,0,0,0,0,0,0,590,1400000US17043846524,"Census Tract 8465,24,DuPage County",17|043|846524,Illinois
1740,1933,1782,1547,235,218,17,0,0,0,39,0,0,39,0,0,0,0,0,45,24,43,1400000US17043846603,"Census Tract 8466,03,DuPage County",17|043|846603,Illinois
1741,2247,1847,1572,275,275,0,0,0,0,93,0,25,22,46,0,0,0,0,10,161,136,1400000US17043846604,"Census Tract 8466,04,DuPage County",17|043|846604,Illinois
1742,2402,2303,2131,172,104,68,0,0,0,20,0,0,20,0,0,0,0,0,0,7,72,1400000US17043846701,"Census Tract 8467,01,DuPage County",17|043|846701,Illinois
1743,1912,1575,1266,309,204,44,0,61,0,78,0,14,64,0,0,0,0,0,0,9,250,1400000US17043846702,"Census Tract 8467,02,DuPage County",17|043|846702,Illinois
1744,1102,956,918,38,33,5,0,0,0,19,19,0,0,0,0,0,0,0,30,23,74,1400000US17045070100,"Census Tract 701,Edgar County",17|045|070100,Illinois
1745,832,780,721,59,55,1,3,0,0,0,0,0,0,0,0,0,0,3,14,3,32,1400000US17045070200,"Census Tract 702,Edgar County",17|045|070200,Illinois
