,Geography,NAME,HouseholdsTotal,HouseholdsTotalLess than $10|000,HouseholdsTotal$10|000 to $14|999,HouseholdsTotal$15|000 to $24|999,HouseholdsTotal$25|000 to $34|999,HouseholdsTotal$35|000 to $49|999,HouseholdsTotal$50|000 to $74|999,HouseholdsTotal$75|000 to $99|999,HouseholdsTotal$100|000 to $149|999,HouseholdsTotal$150|000 to $199|999,HouseholdsTotal$200|000 or more,HouseholdsMedian income (dollars),HouseholdsMean income (dollars),HouseholdsPERCENT ALLOCATEDHousehold income in the past 12 months,FamiliesTotal,FamiliesTotalLess than $10|000,FamiliesTotal$10|000 to $14|999,FamiliesTotal$15|000 to $24|999,FamiliesTotal$25|000 to $34|999,FamiliesTotal$35|000 to $49|999,FamiliesTotal$50|000 to $74|999,FamiliesTotal$75|000 to $99|999,FamiliesTotal$100|000 to $149|999,FamiliesTotal$150|000 to $199|999,FamiliesTotal$200|000 or more,FamiliesMedian income (dollars),FamiliesMean income (dollars),FamiliesPERCENT ALLOCATEDFamily income in the past 12 months,Married-couple familiesTotal,Married-couple familiesTotalLess than $10|000,Married-couple familiesTotal$10|000 to $14|999,Married-couple familiesTotal$15|000 to $24|999,Married-couple familiesTotal$25|000 to $34|999,Married-couple familiesTotal$35|000 to $49|999,Married-couple familiesTotal$50|000 to $74|999,Married-couple familiesTotal$75|000 to $99|999,Married-couple familiesTotal$100|000 to $149|999,Married-couple familiesTotal$150|000 to $199|999,Married-couple familiesTotal$200|000 or more,Married-couple familiesMedian income (dollars),Married-couple familiesMean income (dollars),Nonfamily householdsTotal,Nonfamily householdsTotalLess than $10|000,Nonfamily householdsTotal$10|000 to $14|999,Nonfamily householdsTotal$15|000 to $24|999,Nonfamily householdsTotal$25|000 to $34|999,Nonfamily householdsTotal$35|000 to $49|999,Nonfamily householdsTotal$50|000 to $74|999,Nonfamily householdsTotal$75|000 to $99|999,Nonfamily householdsTotal$100|000 to $149|999,Nonfamily householdsTotal$150|000 to $199|999,Nonfamily householdsTotal$200|000 or more,Nonfamily householdsMedian income (dollars),Nonfamily householdsMean income (dollars),Nonfamily householdsPERCENT ALLOCATEDNonfamily income in the past 12 months,state,State
15,0500000US17029,Coles County,20269,8.6,6.6,10.4,10.9,14.5,18.3,11.1,12.2,4.4,3.0,48534,71094,34.2,11460,3.7,3.7,5.6,10.7,12.8,21.0,14.2,16.8,7.1,4.4,64516,90111,33.8,8082,2.2,1.3,2.3,7.6,10.4,20.5,17.1,22.9,9.8,5.9,81741,109963,8809,15.9,11.5,18.1,12.0,15.6,14.4,5.8,5.0,0.7,1.1,28106,43174,33.2,17|029,Illinois
16,0500000US17031,Cook County,2044658,6.8,3.7,7.6,7.7,10.3,15.5,12.4,16.1,8.5,11.4,72121,104880,38.6,1207289,3.8,2.0,5.4,6.6,9.7,14.7,12.6,18.8,10.9,15.3,89553,126045,42.3,821322,1.5,0.9,3.1,4.5,7.3,13.2,12.8,21.8,14.0,21.0,113695,153713,837369,11.8,6.3,11.2,9.6,11.7,16.6,11.7,11.6,4.5,5.0,49051,71013,32.1,17|031,Illinois
17,0500000US17033,Crawford County,7512,6.5,5.3,9.7,9.0,13.3,20.2,11.6,14.7,5.8,4.0,54942,75568,36.2,4977,3.4,1.1,6.1,7.5,12.9,20.6,14.2,19.7,8.5,5.8,71983,93757,35.1,4040,1.2,0.4,4.5,6.0,11.9,20.9,15.1,23.0,10.1,6.9,84773,,2535,14.7,11.9,17.8,13.1,15.3,17.1,6.2,3.1,0.6,0.3,27894,37296,35.8,17|033,Illinois
18,0500000US17035,Cumberland County,4126,2.8,3.2,8.1,11.0,12.1,18.3,18.6,16.6,6.7,2.6,66530,78086,39.7,2748,1.3,0.8,4.5,5.4,9.4,19.9,23.1,23.4,9.4,2.9,79593,89767,39.6,2486,0.2,0.5,3.7,5.2,8.5,18.1,24.6,25.6,10.4,3.2,87132,,1378,6.6,8.6,15.2,22.1,18.8,14.9,8.8,2.4,0.6,2.0,32469,52063,38.8,17|035,Illinois
19,0500000US17037,DeKalb County,38931,7.7,3.6,8.2,9.1,10.8,18.9,12.5,15.9,8.0,5.0,64019,80426,29.4,23149,5.5,1.4,4.8,5.3,9.3,18.5,14.4,22.3,11.1,7.3,85555,99282,29.3,17086,1.0,0.6,3.1,3.5,8.3,16.4,14.4,29.0,14.3,9.4,105262,116466,15782,11.6,7.7,14.0,15.7,13.3,19.7,8.7,5.7,2.2,1.3,36344,48590,28.3,17|037,Illinois
20,0500000US17039,De Witt County,6635,4.8,5.9,6.9,12.1,13.2,17.2,14.6,17.9,3.3,4.1,60401,73939,33.9,4118,2.6,2.3,4.7,8.4,12.6,18.0,17.9,22.5,5.2,5.8,77581,89266,35.4,3286,0.9,0.9,3.9,7.9,11.8,18.6,16.4,26.2,6.2,7.2,86714,,2517,9.1,12.0,11.3,18.5,14.4,15.0,9.2,9.1,0.3,1.2,34577,47072,29.6,17|039,Illinois
21,0500000US17041,Douglas County,7585,4.6,3.4,11.7,7.7,11.6,19.2,13.9,19.1,4.4,4.3,63142,76171,36.7,5243,4.2,1.0,5.7,7.2,10.0,19.1,17.3,23.8,5.8,5.9,76771,87784,36.7,4259,3.0,0.4,2.9,4.4,9.4,19.4,18.5,28.1,7.0,7.0,88480,,2342,6.8,8.9,24.3,11.9,13.9,20.8,5.9,5.4,1.5,0.7,31971,47054,35.0,17|041,Illinois
22,0500000US17043,DuPage County,347385,3.2,1.8,4.3,5.0,8.1,14.6,12.8,20.4,12.3,17.3,100292,133288,34.9,244430,1.7,1.0,2.4,3.4,6.0,12.3,12.5,22.9,15.2,22.5,122334,156307,36.0,199276,0.9,0.7,1.4,2.2,4.8,10.3,11.9,24.3,17.2,26.3,135336,171981,102955,7.3,3.9,9.6,9.7,13.4,20.3,13.3,13.4,4.9,4.3,56153,74179,31.1,17|043,Illinois
23,0500000US17045,Edgar County,7544,6.5,6.2,8.2,11.1,17.7,17.1,15.0,13.0,3.2,2.0,50843,64991,35.9,4927,3.3,2.8,5.7,9.2,18.0,16.7,18.8,17.8,4.8,2.9,67440,76257,35.2,3874,0.8,1.3,2.6,7.2,17.8,17.4,23.0,21.4,5.2,3.4,79794,,2617,13.1,12.5,15.4,14.5,16.7,16.8,6.4,3.8,0.4,0.4,32161,41817,36.5,17|045,Illinois
24,0500000US17047,Edwards County,2656,4.6,5.0,11.0,9.9,14.3,19.2,15.1,15.9,4.1,1.1,55833,66327,36.7,1774,2.5,2.0,2.7,10.3,14.9,20.6,18.0,21.7,5.7,1.6,71410,79811,33.8,1387,0.3,0.5,1.3,7.9,11.2,20.5,22.9,26.0,7.4,2.0,85396,,882,12.0,11.2,24.1,9.9,16.6,14.2,7.3,4.1,0.7,0.0,29583,37244,42.5,17|047,Illinois
